path	ngenes_tscore	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_BHcorr	genes_path	tissue	replicated	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForCAD
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	2	-3.61295874793023	0.000302722879389114	0.0437124984177193	DHX36,S100B	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Olopatadine-and-Calcium-and-N-Formylmethionine-and-Arundic acid-and-(Z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide-and-2-[(5-hex-1-yn-1-ylfuran-2-yl)carbonyl]-N-methylhydrazinecarbothioamide-and-Calcium citrate-and-Calcium Phosphate-and-Calcium phosphate dihydrate	9	DB00768-and-DB01373-and-DB04464-and-DB05343-and-DB06941-and-DB07004-and-DB11093-and-DB11348-and-DB14481	S100B	
Metabolism of steroid hormones	5	-3.55319554174719	0.000380581453885616	0.0437124984177193	SRD5A3,HSD17B11,HSD17B12,FDX1,HSD17B14	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Mitotane-and-Aetiocholanolone	2	DB00648-and-DB02854	FDX1-and-HSD17B11	
Recruitment of NuMA to mitotic centrosomes	15	-3.57351474081938	0.000352221405162331	0.0437124984177193	SDCCAG8,ALMS1,MZT2A,CEP63,HAUS6,TUBB4B,CEP57,CEP290,HAUS4,TUBGCP4,TUBG2,CSNK1D,CEP192,HAUS8,PCNT	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Albendazole-and-Mebendazole-and-Epothilone D-and-Patupilone-and-Oxibendazole-and-CYT997-and-Phenethyl Isothiocyanate	7	DB00518-and-DB00643-and-DB01873-and-DB03010-and-DB04910-and-DB05147-and-DB12695	TUBB4B	
Steroid hormones	6	-3.65486354724161	0.000257318799721869	0.0437124984177193	SRD5A3,HSD17B11,CUBN,HSD17B12,FDX1,HSD17B14	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Cyanocobalamin-and-Hydroxocobalamin-and-Mitotane-and-Aetiocholanolone	4	DB00115-and-DB00200-and-DB00648-and-DB02854	CUBN-and-FDX1-and-HSD17B11	
Xenobiotics	3	-3.91697494269338	8.96670648086322e-05	0.0240307733687134	ARNT,CYP3A7,CYP2D6	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Peginterferon alfa-2b-and-Cyclosporine-and-Fluvoxamine-and-Amphetamine-and-Nicotine-and-Cevimeline-and-Esmolol-and-Bortezomib-and-Tramadol-and-Betaxolol-and-Troglitazone-and-Erythromycin-and-Caffeine-and-Sildenafil-and-Ticlopidine-and-Trospium-and-Midodrine-and-Citalopram-and-Eletriptan-and-Nelfinavir-and-Indinavir-and-Reboxetine-and-Nevirapine-and-Ranolazine-and-Dapsone-and-Phenytoin-and-Clotrimazole-and-Sulfanilamide-and-Metoprolol-and-Theophylline-and-Lidocaine-and-Clemastine-and-Venlafaxine-and-Atomoxetine-and-Bupivacaine-and-Acetaminophen-and-Gefitinib-and-Codeine-and-Amitriptyline-and-Methadone-and-Olanzapine-and-Atenolol-and-Omeprazole-and-Terfenadine-and-Diltiazem-and-Clobazam-and-Chlorzoxazone-and-Vinorelbine-and-Clozapine-and-Mirtazapine-and-Timolol-and-Palonosetron-and-Mexiletine-and-Amlodipine-and-Progesterone-and-Sorafenib-and-Nisoldipine-and-Alprazolam-and-Remoxipride-and-Rosiglitazone-and-Promazine-and-Zolpidem-and-Prochlorperazine-and-Cerivastatin-and-Betamethasone-and-Chloramphenicol-and-Lansoprazole-and-Meperidine-and-Loratadine-and-Imipramine-and-Quinine-and-Fluoxetine-and-Duloxetine-and-Chlorpromazine-and-Celecoxib-and-Sotalol-and-Buspirone-and-Entacapone-and-Darifenacin-and-Oxycodone-and-Cimetidine-and-Haloperidol-and-Ritonavir-and-Dextromethorphan-and-Carteolol-and-Lercanidipine-and-Erlotinib-and-Mephenytoin-and-Ciprofloxacin-and-Nortriptyline-and-Vincristine-and-Amoxapine-and-Hydroxyzine-and-Cinnarizine-and-Vinblastine-and-Propranolol-and-Fenfluramine-and-Clonidine-and-Voriconazole-and-Fluticasone propionate-and-Doxazosin-and-Piperazine-and-Labetalol-and-Cisapride-and-Chloroquine-and-Amodiaquine-and-Imatinib-and-Triamcinolone-and-Nicardipine-and-Fluphenazine-and-Testosterone-and-Efavirenz-and-Niacin-and-Dexmedetomidine-and-Astemizole-and-Simvastatin-and-Dextropropoxyphene-and-Trazodone-and-Verapamil-and-Galantamine-and-Tamoxifen-and-Thioridazine-and-Midazolam-and-Nicergoline-and-Amprenavir-and-Delavirdine-and-Tamsulosin-and-Paroxetine-and-Trimipramine-and-Nateglinide-and-Risperidone-and-Meclizine-and-Pentamidine-and-Hydrocortisone-and-Epinastine-and-Tranylcypromine-and-Tretinoin-and-Dolasetron-and-Irinotecan-and-Methimazole-and-Phenelzine-and-Estradiol-and-Tripelennamine-and-Alfentanil-and-Minaprine-and-Biperiden-and-Fentanyl-and-Diazepam-and-Mifepristone-and-Loperamide-and-Donepezil-and-Clofazimine-and-Perphenazine-and-Terbinafine-and-Ranitidine-and-Alprenolol-and-Sirolimus-and-Triazolam-and-Ondansetron-and-Cocaine-and-Quinidine-and-Phenformin-and-Metronidazole-and-Almotriptan-and-Buprenorphine-and-Cyclobenzaprine-and-Tipranavir-and-Mesoridazine-and-Maprotiline-and-Salmeterol-and-Isoniazid-and-Hydrocodone-and-Pindolol-and-Zaleplon-and-Azelastine-and-Formoterol-and-Doxorubicin-and-Hydroxyurea-and-Cinacalcet-and-Glyburide-and-Felodipine-and-Ketoconazole-and-Methoxyflurane-and-Procainamide-and-Tolterodine-and-Selegiline-and-Rifampicin-and-Nitrendipine-and-Praziquantel-and-Oxybutynin-and-Promethazine-and-Mequitazine-and-Perhexiline-and-Diphenhydramine-and-Atorvastatin-and-Tegaserod-and-Primaquine-and-Dimethyl sulfoxide-and-Fluvastatin-and-Oxamniquine-and-Pimozide-and-Sertraline-and-Miconazole-and-Chlorpheniramine-and-Nifedipine-and-Amiodarone-and-Bicalutamide-and-Rabeprazole-and-Proguanil-and-Carvedilol-and-Doxepin-and-Nefazodone-and-Desipramine-and-Bupropion-and-Cilostazol-and-Itraconazole-and-Moclobemide-and-Orphenadrine-and-Phenobarbital-and-Escitalopram-and-Idarubicin-and-Propafenone-and-Domperidone-and-Dexfenfluramine-and-Oxymorphone-and-Acebutolol-and-Flecainide-and-Lomustine-and-Levobunolol-and-Metipranolol-and-Finasteride-and-Halofantrine-and-Quetiapine-and-Levacetylmethadol-and-Encainide-and-Paclitaxel-and-Saquinavir-and-Metoclopramide-and-Dexamethasone-and-Aripiprazole-and-Clomipramine-and-Bepridil-and-Docetaxel-and-Lisdexamfetamine-and-Darunavir-and-Paliperidone-and-Sunitinib-and-Arformoterol-and-Bevantolol-and-Practolol-and-St. John's Wort-and-Penbutolol-and-Mibefradil-and-Yohimbine-and-Methotrimeprazine-and-Tiotropium-and-Ciclesonide-and-Aminophenazone-and-Aprindine-and-Antipyrine-and-Midomafetamine-and-Ethylmorphine-and-4-Methoxyamphetamine-and-Dihydrocodeine-and-1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine-and-Dextroamphetamine-and-Metamfetamine-and-Oxprenolol-and-Everolimus-and-Solifenacin-and-Lopinavir-and-Hydroxychloroquine-and-Pipotiazine-and-Thiothixene-and-Zuclopenthixol-and-Etoricoxib-and-Prasterone-and-Nicotinamide-and-Fusidic acid-and-Phenacetin-and-Iproniazid-and-Lysergic acid diethylamide-and-Debrisoquine-and-Flunarizine-and-Tetrabenazine-and-Celiprolol-and-Dronedarone-and-Nebivolol-and-Nilotinib-and-Lorcaserin-and-Dapoxetine-and-Bicifadine-and-Tesmilifene-and-Oritavancin-and-Clevidipine-and-Ospemifene-and-Iloperidone-and-Lofexidine-and-Azimilide-and-Trabectedin-and-Rotigotine-and-Prasterone sulfate-and-Abiraterone-and-Cariprazine-and-Sertindole-and-Mianserin-and-Alogliptin-and-Tapentadol-and-Asenapine-and-Vernakalant-and-Temsirolimus-and-Dapagliflozin-and-Indisulam-and-Oxymetholone-and-Repinotan-and-Deramciclane-and-Pazopanib-and-Midostaurin-and-Panobinostat-and-Tafenoquine-and-Safinamide-and-Esmirtazapine-and-Vilazodone-and-Mepyramine-and-Desvenlafaxine-and-Fesoterodine-and-Lumefantrine-and-Bufuralol-and-Sparteine-and-Sulfaphenazole-and-Gestodene-and-Seproxetine-and-Enclomiphene-and-Benzyl alcohol-and-Phenylbutyric acid-and-Sulconazole-and-Bopindolol-and-Bupranolol-and-Rilpivirine-and-Vemurafenib-and-Mirabegron-and-Ponatinib-and-Fluticasone furoate-and-Glycerol phenylbutyrate-and-Levomilnacipran-and-Perospirone-and-Indenolol-and-Befunolol-and-Eliglustat-and-Netupitant-and-Naloxegol-and-Ibrutinib-and-Idelalisib-and-Cannabidiol-and-Cobicistat-and-Vortioxetine-and-Umeclidinium-and-Lenvatinib-and-Daclatasvir-and-Stiripentol-and-Brexpiprazole-and-Dosulepin-and-Butyrfentanyl-and-Dasabuvir-and-Lorpiprazole-and-Arotinolol-and-Melperone-and-Manidipine-and-Methylene blue-and-Propacetamol-and-Rolapitant-and-Levobetaxolol-and-Dexchlorpheniramine maleate-and-Ixazomib-and-Opium-and-Elbasvir-and-Asunaprevir-and-Rupatadine-and-Isavuconazole-and-Artenimol-and-Pitolisant-and-Curcumin-and-Encorafenib-and-Lasmiditan-and-Istradefylline-and-Talinolol-and-Anisodamine-and-Osilodrostat-and-Revefenacin-and-Valbenazine-and-Dacomitinib-and-Elagolix-and-Diacerein-and-Abemaciclib-and-Letermovir-and-Deutetrabenazine-and-Landiolol-and-Triclabendazole-and-Rucaparib-and-Copanlisib-and-Fedratinib-and-Mizolastine-and-Ritanserin-and-Bucindolol-and-Levosalbutamol-and-Rhein-and-Troleandomycin-and-Ipecac-and-Esatenolol-and-Cloranolol-and-Mepindolol-and-Umifenovir-and-Dexchlorpheniramine-and-Epanolol-and-Tertatolol-and-Fluticasone-and-Enasidenib-and-Testosterone cypionate-and-Testosterone enanthate-and-Testosterone undecanoate-and-Estradiol acetate-and-Estradiol benzoate-and-Estradiol cypionate-and-Estradiol dienanthate-and-Estradiol valerate-and-Black cohosh-and-Medical Cannabis-and-5-methoxy-N,N-dimethyltryptamine-and-Nabiximols-and-Clinafloxacin-and-Aripiprazole lauroxil-and-Hydrocortisone aceponate-and-Hydrocortisone acetate-and-Hydrocortisone butyrate-and-Hydrocortisone cypionate-and-Hydrocortisone phosphate-and-Hydrocortisone probutate-and-Hydrocortisone valerate-and-Curcumin sulfate-and-Dexamethasone acetate-and-Remdesivir-and-Ripretinib-and-Upadacitinib-and-Ubrogepant-and-Elexacaftor	501	DB00022-and-DB00091-and-DB00176-and-DB00182-and-DB00184-and-DB00185-and-DB00187-and-DB00188-and-DB00193-and-DB00195-and-DB00197-and-DB00199-and-DB00201-and-DB00203-and-DB00208-and-DB00209-and-DB00211-and-DB00215-and-DB00216-and-DB00220-and-DB00224-and-DB00234-and-DB00238-and-DB00243-and-DB00250-and-DB00252-and-DB00257-and-DB00259-and-DB00264-and-DB00277-and-DB00281-and-DB00283-and-DB00285-and-DB00289-and-DB00297-and-DB00316-and-DB00317-and-DB00318-and-DB00321-and-DB00333-and-DB00334-and-DB00335-and-DB00338-and-DB00342-and-DB00343-and-DB00349-and-DB00356-and-DB00361-and-DB00363-and-DB00370-and-DB00373-and-DB00377-and-DB00379-and-DB00381-and-DB00396-and-DB00398-and-DB00401-and-DB00404-and-DB00409-and-DB00412-and-DB00420-and-DB00425-and-DB00433-and-DB00439-and-DB00443-and-DB00446-and-DB00448-and-DB00454-and-DB00455-and-DB00458-and-DB00468-and-DB00472-and-DB00476-and-DB00477-and-DB00482-and-DB00489-and-DB00490-and-DB00494-and-DB00496-and-DB00497-and-DB00501-and-DB00502-and-DB00503-and-DB00514-and-DB00521-and-DB00528-and-DB00530-and-DB00532-and-DB00537-and-DB00540-and-DB00541-and-DB00543-and-DB00557-and-DB00568-and-DB00570-and-DB00571-and-DB00574-and-DB00575-and-DB00582-and-DB00588-and-DB00590-and-DB00592-and-DB00598-and-DB00604-and-DB00608-and-DB00613-and-DB00619-and-DB00620-and-DB00622-and-DB00623-and-DB00624-and-DB00625-and-DB00627-and-DB00633-and-DB00637-and-DB00641-and-DB00647-and-DB00656-and-DB00661-and-DB00674-and-DB00675-and-DB00679-and-DB00683-and-DB00699-and-DB00701-and-DB00705-and-DB00706-and-DB00715-and-DB00726-and-DB00731-and-DB00734-and-DB00737-and-DB00738-and-DB00741-and-DB00751-and-DB00752-and-DB00755-and-DB00757-and-DB00762-and-DB00763-and-DB00780-and-DB00783-and-DB00792-and-DB00802-and-DB00805-and-DB00810-and-DB00813-and-DB00829-and-DB00834-and-DB00836-and-DB00843-and-DB00845-and-DB00850-and-DB00857-and-DB00863-and-DB00866-and-DB00877-and-DB00897-and-DB00904-and-DB00907-and-DB00908-and-DB00914-and-DB00916-and-DB00918-and-DB00921-and-DB00924-and-DB00932-and-DB00933-and-DB00934-and-DB00938-and-DB00951-and-DB00956-and-DB00960-and-DB00962-and-DB00972-and-DB00983-and-DB00997-and-DB01005-and-DB01012-and-DB01016-and-DB01023-and-DB01026-and-DB01028-and-DB01035-and-DB01036-and-DB01037-and-DB01045-and-DB01054-and-DB01058-and-DB01062-and-DB01069-and-DB01071-and-DB01074-and-DB01075-and-DB01076-and-DB01079-and-DB01087-and-DB01093-and-DB01095-and-DB01096-and-DB01100-and-DB01104-and-DB01110-and-DB01114-and-DB01115-and-DB01118-and-DB01128-and-DB01129-and-DB01131-and-DB01136-and-DB01142-and-DB01149-and-DB01151-and-DB01156-and-DB01166-and-DB01167-and-DB01171-and-DB01173-and-DB01174-and-DB01175-and-DB01177-and-DB01182-and-DB01184-and-DB01191-and-DB01192-and-DB01193-and-DB01195-and-DB01206-and-DB01210-and-DB01214-and-DB01216-and-DB01218-and-DB01224-and-DB01227-and-DB01228-and-DB01229-and-DB01232-and-DB01233-and-DB01234-and-DB01238-and-DB01242-and-DB01244-and-DB01248-and-DB01255-and-DB01264-and-DB01267-and-DB01268-and-DB01274-and-DB01295-and-DB01297-and-DB01323-and-DB01359-and-DB01388-and-DB01392-and-DB01403-and-DB01409-and-DB01410-and-DB01424-and-DB01429-and-DB01435-and-DB01454-and-DB01466-and-DB01472-and-DB01551-and-DB01562-and-DB01576-and-DB01577-and-DB01580-and-DB01590-and-DB01591-and-DB01601-and-DB01611-and-DB01621-and-DB01623-and-DB01624-and-DB01628-and-DB01708-and-DB02701-and-DB02703-and-DB03783-and-DB04818-and-DB04829-and-DB04840-and-DB04841-and-DB04844-and-DB04846-and-DB04855-and-DB04861-and-DB04868-and-DB04871-and-DB04884-and-DB04889-and-DB04905-and-DB04911-and-DB04920-and-DB04938-and-DB04946-and-DB04948-and-DB04957-and-DB05109-and-DB05271-and-DB05804-and-DB05812-and-DB06016-and-DB06144-and-DB06148-and-DB06203-and-DB06204-and-DB06216-and-DB06217-and-DB06287-and-DB06292-and-DB06370-and-DB06412-and-DB06506-and-DB06512-and-DB06589-and-DB06595-and-DB06603-and-DB06608-and-DB06654-and-DB06678-and-DB06684-and-DB06691-and-DB06700-and-DB06702-and-DB06708-and-DB06726-and-DB06727-and-DB06729-and-DB06730-and-DB06731-and-DB06735-and-DB06770-and-DB06819-and-DB06820-and-DB08807-and-DB08808-and-DB08864-and-DB08881-and-DB08893-and-DB08901-and-DB08906-and-DB08909-and-DB08918-and-DB08922-and-DB08952-and-DB09013-and-DB09039-and-DB09048-and-DB09049-and-DB09053-and-DB09054-and-DB09061-and-DB09065-and-DB09068-and-DB09076-and-DB09078-and-DB09102-and-DB09118-and-DB09128-and-DB09167-and-DB09173-and-DB09183-and-DB09195-and-DB09204-and-DB09224-and-DB09238-and-DB09241-and-DB09288-and-DB09291-and-DB09351-and-DB09555-and-DB09570-and-DB11130-and-DB11574-and-DB11586-and-DB11614-and-DB11633-and-DB11638-and-DB11642-and-DB11672-and-DB11718-and-DB11732-and-DB11757-and-DB11770-and-DB11785-and-DB11837-and-DB11855-and-DB11915-and-DB11963-and-DB11979-and-DB11994-and-DB12001-and-DB12070-and-DB12161-and-DB12212-and-DB12245-and-DB12332-and-DB12483-and-DB12500-and-DB12523-and-DB12693-and-DB12752-and-DB13139-and-DB13174-and-DB13179-and-DB13293-and-DB13443-and-DB13508-and-DB13530-and-DB13609-and-DB13679-and-DB13757-and-DB13775-and-DB13867-and-DB13874-and-DB13943-and-DB13944-and-DB13946-and-DB13952-and-DB13953-and-DB13954-and-DB13955-and-DB13956-and-DB13975-and-DB14009-and-DB14010-and-DB14011-and-DB14025-and-DB14185-and-DB14538-and-DB14539-and-DB14540-and-DB14541-and-DB14542-and-DB14543-and-DB14544-and-DB14635-and-DB14649-and-DB14761-and-DB14840-and-DB15091-and-DB15328-and-DB15444	CYP2D6-and-CYP3A7	Amlodipine-and-Niacin-and-Simvastatin-and-Atorvastatin
Cellular Senescence	9	3.81250926194341	0.000137563072669798	0.0164415940096307	H3F3A,MAP4K4,ANAPC4,CDK6,CDC26,ATM,SP1,UBN1,ETS2	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Caffeine-and-Alvocidib-and-(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol-and-Fisetin-and-Palbociclib-and-Ribociclib-and-Abemaciclib-and-Fostamatinib	8	DB00201-and-DB03496-and-DB07379-and-DB07795-and-DB09073-and-DB11730-and-DB12001-and-DB12010	ATM-and-CDK6-and-MAP4K4	
Interconversion of nucleotide di- and triphosphates	6	-3.35233250143184	0.000801337144029195	0.0404252253174594	NME7,AK8,NUDT13,RRM1,NME4,TYMS	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Cladribine-and-Raltitrexed-and-Floxuridine-and-Trifluridine-and-Gemcitabine-and-Fluorouracil-and-Methotrexate-and-Clofarabine-and-Pemetrexed-and-Hydroxyurea-and-Fludarabine-and-Capecitabine-and-Thymidine monophosphate-and-Bis(Adenosine)-5'-Pentaphosphate-and-10-Propargyl-5,8-Dideazafolic Acid-and-Deoxyuridine monophosphate-and-S,S-(2-Hydroxyethyl)Thiocysteine-and-Imexon-and-Thymectacin-and-ANX-510-and-Gallium maltolate-and-OSI-7904L-and-Tezacitabine-and-Pralatrexate-and-2,4-Diamino-5-phenyl-6-ethylpyrimidine-and-N-[2-Chloro-5-(trifluoromethyl)phenyl]imidodicarbonimidic diamide-and-N-(3,5-dimethoxyphenyl)imidodicarbonimidic diamide-and-6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE-and-Tegafur-and-Tegafur-uracil	33	DB00242-and-DB00293-and-DB00322-and-DB00432-and-DB00441-and-DB00544-and-DB00563-and-DB00631-and-DB00642-and-DB01005-and-DB01073-and-DB01101-and-DB01643-and-DB01717-and-DB03541-and-DB03800-and-DB04530-and-DB05003-and-DB05116-and-DB05308-and-DB05420-and-DB05457-and-DB06433-and-DB06813-and-DB07577-and-DB08478-and-DB08479-and-DB08734-and-DB09256-and-DB09327	RRM1-and-TYMS-and-AK8	
Loss of Nlp from mitotic centrosomes	7	-4.01092641419949	6.04809601357579e-05	0.014298222160865	CEP63,CNTRL,HAUS4,NDE1,CEP192,HAUS1,SFI1	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome		0			
RHO GTPases activate KTN1	2	3.74870930656516	0.000177746962266278	0.0164415940096307	RAC1,KLC1	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Azathioprine-and-Guanosine-5'-Diphosphate	2	DB00993-and-DB04315	RAC1	
Recruitment of NuMA to mitotic centrosomes	8	-3.66251419650643	0.000249751906939121	0.0204852909808946	MZT2A,CEP63,CNTRL,HAUS4,NDE1,CEP192,HAUS1,SFI1	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	Reactome	Albendazole-and-Mebendazole-and-Epothilone D-and-Patupilone-and-Oxibendazole-and-CYT997-and-Phenethyl Isothiocyanate	7	DB00518-and-DB00643-and-DB01873-and-DB03010-and-DB04910-and-DB05147-and-DB12695	TUBB4B	
