path	ngenes_tscore	Dx_z	Dx_pval	Dx_pval_BHcorr	genes_path	tissue	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForSCZ
A third proteolytic cleavage releases NICD	3	3.87797266121047	0.000105330550241823	0.00658794714239767	NOTCH4,NOTCH1,PSEN1	DLPC_CMC	genes P < pathway P	Reactome		0			
APC-Cdc20 mediated degradation of Nek2A	4	-3.12346970745579	0.00178732262498523	0.0409001969951619	ANAPC4,CDC23,CDC16,UBA52	DLPC_CMC	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Activation of C3 and C5	4	4.53014397328709	5.89435051981373e-06	0.000901180701695966	CFB,C4A,C4B,C5	DLPC_CMC	genes P < pathway P	Reactome	Human immunoglobulin G-and-Eculizumab-and-Zinc-and-4-guanidinobenzoic acid-and-Diisopropylphosphono Group-and-MLN2222-and-Copper-and-Ravulizumab-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	20	DB00028-and-DB01257-and-DB01593-and-DB02459-and-DB04491-and-DB06503-and-DB09130-and-DB11580-and-DB14487-and-DB14533-and-DB14548	C4A-and-C4B-and-C5-and-CFB	
Chaperonin-mediated protein folding	27	-3.44271799999687	0.000575899495296803	0.0196211428936995	GNG5,GNG4,RGS7,GNB4,PFDN1,KIF13A,CSNK2B,SKIV2L,TCP1,ACTB,FKBP9,GNAI1,TUBA1A,TUBA1C,GNG2,RGS6,LONP2,CCT6B,RGS9,SPHK1,TUBB6,GNG7,NOP56,ARFGEF2,CCT8,TUBA8,GNAZ	DLPC_CMC	genes P < pathway P	Reactome	ATP-and-Albendazole-and-Vinblastine-and-Mebendazole-and-Halothane-and-Epothilone D-and-Patupilone-and-Quercetin-and-Guanosine-5'-Diphosphate-and-Tetrafluoroaluminate Ion-and-CYT997-and-2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE-and-Fingolimod-and-Artenimol-and-Phenethyl Isothiocyanate-and-Colchiceine	26	DB00171-and-DB00518-and-DB00570-and-DB00643-and-DB01159-and-DB01873-and-DB03010-and-DB04216-and-DB04315-and-DB04444-and-DB05147-and-DB07574-and-DB08868-and-DB11638-and-DB12695-and-DB15534	CSNK2B-and-TUBA1A-and-GNG2-and-TUBA1C-and-TUBA8-and-ACTB-and-GNAI1-and-TUBB6-and-SPHK1	
Cohesin Loading onto Chromatin	3	-3.21872518504016	0.00128761824506075	0.032213867367338	PDS5A,RAD21,MAU2	DLPC_CMC	genes P < pathway P	Reactome		0			
Condensation of Prometaphase Chromosomes	3	-4.58822053297197	4.47040249660414e-06	0.000878753405046757	CSNK2B,SMC2,CDK1	DLPC_CMC	genes P < pathway P	Reactome	ATP-and-Indirubin-3'-monoxime-and-Olomoucine-and-Hymenialdisine-and-SU9516-and-Alvocidib-and-Alsterpaullone-and-Quercetin-and-Seliciclib-and-AT-7519-and-Fostamatinib	11	DB00171-and-DB02052-and-DB02116-and-DB02950-and-DB03428-and-DB03496-and-DB04014-and-DB04216-and-DB06195-and-DB08142-and-DB12010	CSNK2B-and-CDK1	
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	3	-3.59918147298616	0.000319220374050579	0.0151464563687447	ANAPC4,CDC23,CDC16	DLPC_CMC	pathway P < genes P & genes FDR > 0.05	Reactome		0			
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	14	-5.50379839048706	3.71694586829297e-08	2.55725875738556e-05	GNG5,GNG4,RGS7,GNB4,CSNK2B,TCP1,GNAI1,GNG2,RGS6,CCT6B,RGS9,GNG7,CCT8,GNAZ	DLPC_CMC	genes P < pathway P	Reactome	ATP-and-Halothane-and-Quercetin-and-Guanosine-5'-Diphosphate-and-Tetrafluoroaluminate Ion	5	DB00171-and-DB01159-and-DB04216-and-DB04315-and-DB04444	CSNK2B-and-GNG2-and-GNAI1	
DAP12 interactions	7	-5.08270557190053	3.72096249230293e-07	0.000102400887788177	VAV3,HLA-C,HLA-B,TREM2,KLRC2,KRAS,GRB2	DLPC_CMC	genes P < pathway P	Reactome	Pegademase-and-Abacavir-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-N-Formylmethionine-and-[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID-and-Farnesyl diphosphate-and-Coccidioides immitis spherule-and-MRTX849-and-AMG-510	9	DB00061-and-DB01048-and-DB03276-and-DB04464-and-DB07771-and-DB07780-and-DB11294-and-DB15568-and-DB15569	GRB2-and-HLA-B-and-KRAS	
DNA Damage Recognition in GG-NER	10	4.42309859421086	9.72953130332521e-06	0.00111565292278129	PARP1,INO80D,ACTR8,ACTB,NFRKB,MCRS1,PARP2,INO80E,UBA52,TFPT	DLPC_CMC	genes P < pathway P	Reactome	Theophylline-and-Zinc-and-Carba-nicotinamide-adenine-dinucleotide-and-NU1025-and-Nicotinamide-and-2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone-and-3-Methoxybenzamide-and-2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide-and-3,4-Dihydro-5-Methyl-Isoquinolinone-and-2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide-and-Quercetin-and-6-AMINO-BENZO[DE]ISOQUINOLINE-1,3-DIONE-and-Veliparib-and-A-620223-and-5-FLUORO-1-[4-(4-PHENYL-3,6-DIHYDROPYRIDIN-1(2H)-YL)BUTYL]QUINAZOLINE-2,4(1H,3H)-DIONE-and-Olaparib-and-Talazoparib-and-Niraparib-and-Rucaparib-and-Phenethyl Isothiocyanate-and-Iniparib-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	29	DB00277-and-DB01593-and-DB02498-and-DB02690-and-DB02701-and-DB03072-and-DB03073-and-DB03509-and-DB03722-and-DB04010-and-DB04216-and-DB07096-and-DB07232-and-DB07330-and-DB07787-and-DB09074-and-DB11760-and-DB11793-and-DB12332-and-DB12695-and-DB13877-and-DB14487-and-DB14533-and-DB14548	PARP1-and-ACTB-and-PARP2	
