feat	comp	pval	estimates	CI_low	CI_up	pval_corr	pval_corr_overall	tissue	new_id	genes_in_MHClocus	database	new_id_v2	sign	gr
fibroblast growth factor binding	gr1_vs_all	0.0726	-0.0248382093946122	-0.0519227967712438	0.00227452356767874	0.6272	0.575402355580482	DLPC_CMC	fibroblast growth factor binding (DLPC)	FALSE	Gene Ontology	fibroblast growth factor binding (DLPC)	no	gr1
transforming growth factor beta binding	gr1_vs_all	0.342	-0.0133006484601182	-0.0407195939450497	0.0140762440461999	0.882160743575724	0.867924690693922	DLPC_CMC	transforming growth factor beta binding (DLPC)	FALSE	Gene Ontology	transforming growth factor beta binding (DLPC)	no	gr1
positive regulation of lipoprotein lipase activity	gr1_vs_all	0.125	-0.0212013743616246	-0.0483845015483483	0.00591133395832404	0.726352941176471	0.689331770222743	DLPC_CMC	positive regulation of lipoprotein lipase activity (DLPC) -same in BCbg-	FALSE	Gene Ontology	positive regulation of lipoprotein lipase activity (DLPC) -same in BCbg-	no	gr1
fibroblast growth factor binding	gr2_vs_all	0.408	-0.0114476532498903	-0.0386147657628261	0.0156987046864998	0.912182509505703	0.891560235366987	DLPC_CMC	fibroblast growth factor binding (DLPC)	FALSE	Gene Ontology	fibroblast growth factor binding (DLPC)	no	gr2
transforming growth factor beta binding	gr2_vs_all	0.129	-0.0211690390149762	-0.0484857849678581	0.0061787521197029	0.730223826714801	0.691922462941847	DLPC_CMC	transforming growth factor beta binding (DLPC)	FALSE	Gene Ontology	transforming growth factor beta binding (DLPC)	no	gr2
positive regulation of lipoprotein lipase activity	gr2_vs_all	0.195	-0.0178838944895118	-0.0449684732492898	0.00914604301277062	0.806516971279373	0.773205956729418	DLPC_CMC	positive regulation of lipoprotein lipase activity (DLPC) -same in BCbg-	FALSE	Gene Ontology	positive regulation of lipoprotein lipase activity (DLPC) -same in BCbg-	no	gr2
fibroblast growth factor binding	gr3_vs_all	0.0014	0.0542491750582415	0.0209296782176851	0.0875445147725434	0.0236892086330935	0.029889258698941	DLPC_CMC	fibroblast growth factor binding (DLPC)	FALSE	Gene Ontology	fibroblast growth factor binding (DLPC)	yes	gr3
transforming growth factor beta binding	gr3_vs_all	0.00262	0.0507761859983211	0.0176871646599647	0.0838279161010786	0.0427933333333333	0.0529705444126074	DLPC_CMC	transforming growth factor beta binding (DLPC)	FALSE	Gene Ontology	transforming growth factor beta binding (DLPC)	yes	gr3
positive regulation of lipoprotein lipase activity	gr3_vs_all	0.000565	0.0579044988773939	0.024942800535016	0.0909579538151085	0.00995415730337079	0.012757248	DLPC_CMC	positive regulation of lipoprotein lipase activity (DLPC) -same in BCbg-	FALSE	Gene Ontology	positive regulation of lipoprotein lipase activity (DLPC) -same in BCbg-	yes	gr3
cytokine production	gr1_vs_all	0.000418	0.0475830256356361	0.0211460182377345	0.0739966349078842	0.00822547126436782	0.00720418791946309	Brain_Caudate_basal_ganglia	cytokine production (BCbg) -same in BHi-	FALSE	Gene Ontology	cytokine production (BCbg) -same in BHi-	yes	gr1
