macro	gr	n	OR	fisher_pvalue	pval_tr
Autophagy	gr1	2	2.04571917390368	0.294551911003375	0.53083815528912
Cell Cycle	gr1	64	1.74439255241585	0.00013201432415477	3.87937894331033
Cell-Cell communication	gr1	0	0	1	0
Cellular responses to external stimuli	gr1	25	2.29946635375888	0.000502563098253368	3.29880940355343
Chromatin organization	gr1	14	4.66866948560663	2.6030481406246e-05	4.58451779999899
Circadian Clock	gr1	0	0	1	0
DNA Repair	gr1	12	0.41262311335901	0.999763455478427	0.000102742132466937
DNA Replication	gr1	11	0.723202676236174	0.882350983070315	0.0543586261043201
Developmental Biology	gr1	16	0.680055236663249	0.949955948178115	0.0222965335603546
Digestion and absorption	gr1	1	1.8396609563403	0.461924567834403	0.335428938833404
Disease	gr1	45	1.3304331126262	0.0529365443767154	1.27624441224333
Extracellular matrix organization	gr1	2	0.156109455960153	0.999935348679518	2.80786194029036e-05
Gene expression (Transcription)	gr1	69	1.97272620954575	2.76885344408101e-06	5.55770003093241
Hemostasis	gr1	1	0.0517790475145595	0.999999987535803	5.41313191916422e-09
Immune System	gr1	214	5.60511384254838	2.46034677439971e-63	62.6090036768013
Metabolism	gr1	29	0.224661218309871	1	0
Metabolism of RNA	gr1	14	0.573877228115568	0.987969767393122	0.00525634494195714
Metabolism of proteins	gr1	78	1.60275723307323	0.00029955221514061	3.52352746452367
Muscle contraction	gr1	0	0	1	0
Neuronal System	gr1	3	0.188063271751215	0.99996747820452	1.41242659928329e-05
Organelle biogenesis and maintenance	gr1	0	0	1	0
Programmed Cell Death	gr1	6	0.821753522280862	0.734376819949457	0.134081039768303
Protein localization	gr1	1	0.41708325092933	0.907331832455342	0.0422338522471689
Reproduction	gr1	17	8.40100014985257	8.58269404826192e-09	8.06637636871938
Sensory Perception	gr1	2	0.416245703998729	0.948561936352636	0.0229343065908303
Signal Transduction	gr1	64	0.518397601983683	0.999999939026668	2.64803823152271e-08
Transport of small molecules	gr1	7	0.2908541774825	0.999971729254728	1.22780022258316e-05
Vesicle-mediated transport	gr1	0	0	1	0
Autophagy	gr2	2	1.79892966786974	0.345422335432406	0.461649583846076
Cell Cycle	gr2	89	2.36222934775623	1.52232307816904e-10	9.81749316873754
Cell-Cell communication	gr2	2	0.392965443672814	0.958422605963444	0.0184429512888642
Cellular responses to external stimuli	gr2	39	3.71808178342599	1.0159112068981e-09	8.99314424878375
Chromatin organization	gr2	13	3.66839572601099	0.00038249296210236	3.41737655148613
Circadian Clock	gr2	0	0	1	0
DNA Repair	gr2	15	0.459853873688409	0.999570192899041	0.000186702978237089
DNA Replication	gr2	19	1.17716573655859	0.291487832052639	0.535379569833583
Developmental Biology	gr2	19	0.721469703217316	0.932412800017581	0.0303917731835853
Digestion and absorption	gr2	0	0	1	0
Disease	gr2	30	0.722337295691548	0.965240006779885	0.0153646859720493
Extracellular matrix organization	gr2	4	0.280102173237051	0.999383617585319	0.000267774015515694
Gene expression (Transcription)	gr2	79	2.05384290364868	1.86235247955625e-07	6.72993811850024
Hemostasis	gr2	1	0.0455196488560427	0.999999998814013	5.15067454635593e-10
Immune System	gr2	205	4.3423177724606	1.24883896264161e-47	46.9034935601408
Metabolism	gr2	21	0.139291337792392	1	0
Metabolism of RNA	gr2	8	0.277649421326915	0.999995974836471	1.74810982768581e-06
Metabolism of proteins	gr2	74	1.29872875627831	0.0295009622730909	1.53016381781582
Muscle contraction	gr2	0	0	1	0
Neuronal System	gr2	3	0.165299494598566	0.999994294568392	2.47784453270067e-06
Organelle biogenesis and maintenance	gr2	2	0.186010545669533	0.99960604079182	0.000171128021151187
Programmed Cell Death	gr2	22	3.55938790343858	6.5761429421747e-06	5.18202875533373
Protein localization	gr2	0	0	1	0
Reproduction	gr2	15	5.86699826770163	2.21665011710943e-06	5.65430285185635
Sensory Perception	gr2	2	0.365999368250353	0.96903032671734	0.0136626310814353
Signal Transduction	gr2	96	0.732903453881661	0.997837559377163	0.000940152909117329
Transport of small molecules	gr2	14	0.533397354185551	0.994821890510394	0.00225466688494014
Vesicle-mediated transport	gr2	0	0	1	0
Autophagy	gr3	2	1.56955601836185	0.404442315901182	0.393143411436762
Cell Cycle	gr3	86	1.93588574621093	5.58509491202795e-07	6.25296944216883
Cell-Cell communication	gr3	0	0	1	0
Cellular responses to external stimuli	gr3	29	2.12519826007798	0.000702861175418813	3.15313044553962
