class	comp_multiple	count	fraction
MHC	gr1	1	0.00145560407569141
MHC	gr1,gr2	17	0.024745269286754
MHC	gr1,gr2,gr3	430	0.625909752547307
MHC	gr1,gr3	33	0.0480349344978166
MHC	gr2	3	0.00436681222707424
MHC	gr2,gr3	60	0.0873362445414847
MHC	gr3	13	0.0189228529839884
outside MHC	gr1	49	0.0713245997088792
outside MHC	gr1,gr2	9	0.0131004366812227
outside MHC	gr1,gr3	5	0.00727802037845706
outside MHC	gr2	33	0.0480349344978166
outside MHC	gr2,gr3	1	0.00145560407569141
outside MHC	gr3	33	0.0480349344978166
