color	pheno_type
chartreuse4	Alcohol_use
lightsalmon2	Anxiety
orange1	Arterial_stiffness
blue4	Blood_biochemistry
hotpink4	Blood_count
darkorchid3	Blood_pressure
firebrick2	Body_size_measures
mediumorchid1	Bone-densitometry_of_heel
seagreen	Chest_pain
palevioletred2	Depression
khaki4	Diet
lightcoral	ECG_at_rest,_12-lead
purple4	ECG_during_exercise
springgreen3	Employment
orange3	Family_history
slateblue3	Hand_grip_strength
ivory3	Happiness_and_subjective_well-being
maroon	Impedance_measures
lavenderblush4	Medical_information
royalblue4	Mental_distress
orangered4	Mental_health
steelblue4	Physical_activity
red	Pulse_wave_analysis
salmon3	Sleep
darkgreen	Smoking
lightskyblue4	Spirometry
grey40	ICD10_Anaemia
grey40	ICD10_Circulatory_system
grey40	ICD10_Endocrine
grey40	ICD10_Respiratory_system
tomato4	Blood_count_ratio
grey40	ICD9-10_OPCS4
chocolate4	Medications
brown	Medication
brown	Medical_conditions
chartreuse4	Alcohol
brown	Asthma_related_drugs
green	Height_derived
pink	Early_life_factors
