chromosome_name	start_position	end_position	strand	ensembl_gene_id	external_gene_name
HG991_PATCH	66119285	66465398	1	ENSG00000261657	SLC25A26
13	23551994	23552136	-1	ENSG00000223116	AL157931.1
13	23708313	23708703	1	ENSG00000233440	HMGA1P6
13	23726725	23726825	-1	ENSG00000207157	RNY3P4
13	23743974	23744736	-1	ENSG00000229483	LINC00362
13	23791571	23791673	-1	ENSG00000252952	RNU6-58P
13	23817659	23821323	1	ENSG00000235205	TATDN2P3
13	93708910	93710179	1	ENSG00000232849	LINC00363
13	23841645	23843289	1	ENSG00000236803	SDAD1P4
13	23947562	23948200	1	ENSG00000232163	RPLP1P13
13	94021100	94021213	-1	ENSG00000252365	SNORD22
13	23993110	24002818	1	ENSG00000229558	SACS-AS1
13	94047230	94048108	-1	ENSG00000235784	HNRNPA1P29
13	94470677	94488397	-1	ENSG00000224394	GPC6-AS2
13	94677724	94677852	-1	ENSG00000212559	RNA5SP35
13	24040710	24061603	1	ENSG00000232977	LINC00327
13	94806447	94840245	-1	ENSG00000236520	GPC6-AS1
13	24072935	24077013	1	ENSG00000227893	LINC00352
13	95117554	95117644	-1	ENSG00000212057	AL139318.1
13	95303651	95303783	-1	ENSG00000222129	RNA5SP36
13	24340073	24340243	-1	ENSG00000232102	MTCO3P2
13	95351479	95351756	-1	ENSG00000242037	RN7SL585P
13	95351948	95355116	-1	ENSG00000238230	LINC00391
13	95364970	95368500	1	ENSG00000227640	SOX21-AS1
13	24463028	24471402	1	ENSG00000205861	C1QTNF9B-AS1
13	95409705	95411526	-1	ENSG00000235768	BRD7P5
13	95412807	95413269	-1	ENSG00000237924	RPL21P112
13	95612295	95613573	1	ENSG00000260962	LINC00557
13	95671489	95671590	1	ENSG00000252335	RNU6-62P
13	95862598	95862702	1	ENSG00000238463	snoU13
13	95963084	95963209	-1	ENSG00000223298	RNY3P8
13	24513696	24520921	-1	ENSG00000196593	ANKRD20A19P
