chrom	chromstart	chromend	name	ensembl_gene_id	external_gene_name
chr13	23552135	23552136	1	ENSG00000223116	AL157931.1
chr13	23708313	23708314	2	ENSG00000233440	HMGA1P6
chr13	23726824	23726825	3	ENSG00000207157	RNY3P4
chr13	23744735	23744736	4	ENSG00000229483	LINC00362
chr13	23791672	23791673	5	ENSG00000252952	RNU6-58P
chr13	23817659	23817660	6	ENSG00000235205	TATDN2P3
chr13	93708910	93708911	7	ENSG00000232849	LINC00363
chr13	23841645	23841646	8	ENSG00000236803	SDAD1P4
chr13	23947562	23947563	9	ENSG00000232163	RPLP1P13
chr13	94021212	94021213	10	ENSG00000252365	SNORD22
chr13	23993110	23993111	11	ENSG00000229558	SACS-AS1
chr13	94048107	94048108	12	ENSG00000235784	HNRNPA1P29
chr13	94488396	94488397	13	ENSG00000224394	GPC6-AS2
chr13	94677851	94677852	14	ENSG00000212559	RNA5SP35
chr13	24040710	24040711	15	ENSG00000232977	LINC00327
chr13	94840244	94840245	16	ENSG00000236520	GPC6-AS1
chr13	24072935	24072936	17	ENSG00000227893	LINC00352
chr13	95117643	95117644	18	ENSG00000212057	AL139318.1
chr13	95303782	95303783	19	ENSG00000222129	RNA5SP36
chr13	24340242	24340243	20	ENSG00000232102	MTCO3P2
chr13	95351755	95351756	21	ENSG00000242037	RN7SL585P
chr13	95355115	95355116	22	ENSG00000238230	LINC00391
chr13	95364970	95364971	23	ENSG00000227640	SOX21-AS1
chr13	24463028	24463029	24	ENSG00000205861	C1QTNF9B-AS1
chr13	95411525	95411526	25	ENSG00000235768	BRD7P5
chr13	95413268	95413269	26	ENSG00000237924	RPL21P112
chr13	95612295	95612296	27	ENSG00000260962	LINC00557
chr13	95671489	95671490	28	ENSG00000252335	RNU6-62P
chr13	95862598	95862599	29	ENSG00000238463	snoU13
chr13	95963208	95963209	30	ENSG00000223298	RNY3P8
chr13	24520920	24520921	31	ENSG00000196593	ANKRD20A19P
chr13	95988454	95988455	32	ENSG00000200211	RNY4P27
chr13	96046303	96046304	33	ENSG00000271492	MEMO1P5
chr13	96186163	96186164	34	ENSG00000223392	CLDN10-AS1
chr13	24553949	24553950	35	ENSG00000228741	RP11-309I15.1
chr13	96329178	96329179	36	ENSG00000247400	DNAJC3-AS1
chr13	24697952	24697953	37	ENSG00000225674	IPO7P2
chr13	96344792	96344793	38	ENSG00000229622	MTND5P2
chr13	24736555	24736556	39	ENSG00000252695	MIR2276
chr13	24828576	24828577	40	ENSG00000227213	SPATA13-AS1
chr13	96346748	96346749	41	ENSG00000227714	MTND6P18
chr13	24895735	24895736	42	ENSG00000240868	C1QTNF9-AS1
chr13	96346823	96346824	43	ENSG00000232373	MTCYBP3
chr13	24902349	24902350	44	ENSG00000234627	NUS1P3
chr13	96367031	96367032	45	ENSG00000251901	snR65
chr13	24905588	24905589	46	ENSG00000261498	LINC00566
chr13	96461860	96461861	47	ENSG00000226977	HMGN1P24
chr13	24974841	24974842	48	ENSG00000233545	CYCSP33
chr13	96821799	96821800	49	ENSG00000242614	RN7SL164P
chr13	97225913	97225914	50	ENSG00000233273	AMMECR1LP1
chr13	24982295	24982296	51	ENSG00000205822	TPTE2P6
chr13	97542066	97542067	52	ENSG00000235137	HSP90AB6P
chr13	97636425	97636426	53	ENSG00000243300	LINC00359
chr13	25129450	25129451	54	ENSG00000266216	AL359538.2
chr13	25140981	25140982	55	ENSG00000244615	PSPC1P2
chr13	97601180	97601181	56	ENSG00000234267	TULP3P1
chr13	25141011	25141012	57	ENSG00000243008	RP11-556N21.1
chr13	97600272	97600273	58	ENSG00000272329	RP11-65L19.4
chr13	25183217	25183218	59	ENSG00000211508	AL359538.1
chr13	97601786	97601787	60	ENSG00000222472	RN7SKP7
chr13	25277802	25277803	61	ENSG00000207474	RNY1P7
chr13	97618267	97618268	62	ENSG00000252154	SNORD112
chr13	25278925	25278926	63	ENSG00000225404	RPL26P34
