type	chrom	TSS_start	start_position	end_position	ensembl_gene_id	external_gene_name	dev_geno	test_dev_geno	CAD_HARD_beta	CAD_HARD_se_beta	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_qval	CAD_HARD_BHcorr	tissue	CAD_HARD_BHcorr_overall	loci_tissue_specific	loci	loci_complete	best_GWAS_signBH	best_GWAS_sign	best_GWAS_pval	CardioGram_beta	CardioGram_se_beta	CardioGram_z	CardioGram_pval	CardioGram_pval_BHcorr	CardioGram_Cochran_stat	CardioGram_Cochran_pval	CardioGram_model	replicated
heritable	chr1	109633479	109630593	109633480	ENSG00000273382	RP5-1065J22.8	0.110419019921615	0.0583820999166203	-0.000115037515564251	2.51135856412428e-05	-4.58068860447115	4.6344745681762e-06	0.00214051960961158	0.00235557702824301	Adipose_Subcutaneous	0.00219690614040657	chr1:109.4-109.8Mb	chr1:109.4-110.2Mb	chr1:109432425-110209180	TRUE	TRUE	3.77e-27	-0.0234873692537823	0.0136169131932651	-1.72486737048445	0.0845513770985585	0.632482089968108	7.96615405395534	0.436783281645786	fixed	TRUE
heritable	chr1	222834853	222832209	222834854	ENSG00000272750	RP11-378J18.8	0.0563318862902591	0.0321785254288332	-0.000191049205498658	2.5240078149264e-05	-7.5692794756354	3.75299967895189e-14	1.90673316218158e-10	2.098302120502e-10	Adipose_Subcutaneous	2.02805838046592e-10	chr1:222.6-223Mb	chr1:222.6-223.1Mb	chr1:222563167-223110549	TRUE	TRUE	8.45e-14	-0.083542868381296	0.0136554978201044	-6.11789255008332	9.48209645603288e-10	5.30144012856798e-06	13.715122791161	0.0894995337484991	fixed	TRUE
heritable	chr1	234509202	234509202	234519795	ENSG00000168275	COA6	0.125450163693722	0.0992393498574359	0.000102269707003215	2.47628167335634e-05	4.12997067755216	3.62809505247691e-05	0.00921637322659804	0.0101423397191992	Adipose_Subcutaneous	0.00985677817808056	chr1:234.3-234.7Mb	chr1:234.3-234.9Mb	chr1:234309202-234867524	FALSE	FALSE	0.003907	-0.00112621689361641	0.0134660171708072	-0.0836340010064683	0.93334743273401	0.992362025167771	8.72433172966906	0.366082076768038	fixed	FALSE
heritable	chr2	85788669	85771846	85788670	ENSG00000115486	GGCX	0.0421411812019938	0.0169141590237609	0.000170180682179862	2.47171696422628e-05	6.88512012673481	5.7738791027067e-12	9.77817541641132e-09	1.07605860210777e-08	Adipose_Subcutaneous	1.50219837454992e-08	chr2:85.6-86Mb	chr2:85.5-86.1Mb	chr2:85469618-86112298	TRUE	TRUE	2.39e-13	0.0374172460395991	0.0134679614430539	2.77824125037847	0.00546540229464264	0.27283093061917	4.64954495848333	0.794291860772581	fixed	TRUE
heritable	chr2	203776937	203776937	203851786	ENSG00000138380	CARF	0.0267458167767952	0.0174061632880597	-0.000153701507542805	2.43522528736894e-05	-6.31159294953226	2.76177845927771e-10	3.50784374192526e-07	3.86027584145542e-07	Adipose_Subcutaneous	4.79023898098721e-07	chr2:203.6-204.1Mb	chr2:203.3-204.1Mb	chr2:203299901-204104831	TRUE	TRUE	2.88e-19	-0.0429843392389402	0.0132324998722389	-3.24839143426852	0.00116059488899198	0.158265512789126	9.79656297360401	0.279595922158424	fixed	TRUE
heritable	chr2	203879602	203879602	204091101	ENSG00000144426	NBEAL1	0.0285514293708795	0.013284732348175	-0.0001754335723938	2.39659729791077e-05	-7.32011058122842	2.47766699444142e-13	6.29396513093172e-10	6.926318082961e-10	Adipose_Subcutaneous	8.20423114595767e-10	chr2:203.6-204.1Mb	chr2:203.3-204.1Mb	chr2:203299901-204104831	TRUE	TRUE	2.88e-19	-0.054450976834246	0.0131165652657706	-4.15131368090266	3.3057232113863e-05	0.0294438879340534	8.93861205683641	0.347501038652506	fixed	TRUE
heritable	chr3	46735193	46710487	46735194	ENSG00000178038	ALS2CL	0.0220750738858442	0.00248010369744927	8.84833462741907e-05	2.4737096417686e-05	3.57694956514496	0.000347627212568306	0.045285644372183	0.0498354806530616	Adipose_Subcutaneous	0.040583248687782	chr3:46.5-46.9Mb	chr3:46.5-46.9Mb	chr3:46535193-46935193	FALSE	FALSE	0.002141	0.00310002930271315	0.0134235386353555	0.230939798135504	0.817361571863621	0.975412514054205	15.0376897294719	0.0584167365726765	fixed	TRUE
heritable	chr3	134205557	134196548	134205558	ENSG00000129055	ANAPC13	0.367585191140284	0.372301179463577	-8.92079823300867e-05	2.46494181516129e-05	-3.6190705103621	0.00029566307740502	0.0405981983959872	0.0446770882640937	Adipose_Subcutaneous	0.0372056263173661	chr3:134-134.4Mb	chr3:134-134.4Mb	chr3:134004585-134405557	TRUE	FALSE	4.47e-05	0.0172624149165688	0.0134443078143053	1.2839943234713	0.199143941622293	0.758456251778091	4.36264192713999	0.823012864264476	fixed	FALSE
heritable	chr6	31239906	31236526	31239907	ENSG00000204525	HLA-C	0.617296879434748	0.624216625229482	-9.04928645563226e-05	2.48668873287169e-05	-3.63909094693244	0.000273602167086798	0.0397157603331801	0.0437059918909225	Adipose_Subcutaneous	0.0355440593089257	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.00943752703566648	0.013413387430303	-0.703590132224585	0.48168805833748	0.899021007552053	13.5132447117931	0.0953684247771518	fixed	TRUE
heritable	chr6	31324424	31324424	31325414	ENSG00000271581	XXbac-BPG248L24.12	0.843180231785761	0.809405224149873	-9.85468664040815e-05	2.49192446677028e-05	-3.95464901597943	7.66470880031527e-05	0.016930867709565	0.0186319073489403	Adipose_Subcutaneous	0.0170231313013831	chr6:31-32.9Mb	chr6:31-33Mb	chr6:31039906-33006556	TRUE	TRUE	2.77e-08	-0.0325398069221419	0.0136427959188189	-2.38512744130816	0.0170732057109144	0.390042676574614	14.3434358187614	0.0732415248588927	fixed	TRUE
